#,Ticker,Sub_Sector,Category,Issuer,Description,URL
1,SMH,Semiconductors,Technology,VanEck,"Tracks the 25 largest US-listed semiconductor companies. Heavy weight in NVIDIA, TSMC, Broadcom.",https://www.vaneck.com/us/en/investments/semiconductor-etf-smh/
2,SOXX,Semiconductors,Technology,iShares,"Tracks 30 US-listed companies in the semiconductor industry including design, manufacture, and distribution.",https://www.ishares.com/us/products/239705/ISHARES-PHLX-SEMICONDUCTOR-ETF
3,SOXQ,Semiconductors,Technology,Invesco,"Broad semiconductor exposure across small, mid, and large cap chip companies.",https://www.invesco.com/us/financial-products/etfs/product-detail?audienceType=Investor&ticker=SOXQ
4,XSD,Semiconductors Small/Mid Cap,Technology,SPDR,Equal-weighted semiconductor ETF giving more exposure to smaller chip companies than market-cap weighted peers.,https://www.ssga.com/us/en/intermediary/etfs/funds/spdr-sp-semiconductor-etf-xsd
5,FTXL,Tech AlphaDEX,Technology,First Trust,"Factor-based tech ETF using AlphaDEX methodology to select stocks on growth, value, and quality metrics.",https://www.ftportfolios.com/Retail/Etf/EtfSummary.aspx?Ticker=FTXL
6,IGV,Software,Technology,iShares,"Tracks US software companies including enterprise, cloud, and infrastructure software leaders.",https://www.ishares.com/us/products/239706/ISHARES-NORTH-AMERICAN-TECH-SOFTWARE-ETF
7,WCLD,Cloud Computing,Technology,WisdomTree,Focuses on cloud computing companies with at least 85% of revenue from cloud-based business models.,https://www.wisdomtree.com/investments/etfs/technology/wcld
8,CLOU,Cloud Computing,Technology,Global X,"Targets companies that derive revenue from cloud computing including SaaS, PaaS, and IaaS providers.",https://www.globalxetfs.com/funds/clou/
9,SKYY,Cloud Computing,Technology,First Trust,"First Trust cloud computing ETF covering companies providing cloud infrastructure, storage, and services.",https://www.ftportfolios.com/Retail/Etf/EtfSummary.aspx?Ticker=SKYY
10,BUG,Cybersecurity,Technology,Global X,"Targets global cybersecurity companies including identity management, threat intelligence, and network security.",https://www.globalxetfs.com/funds/bug/
11,CIBR,Cybersecurity,Technology,First Trust,"Broad cybersecurity ETF covering companies protecting networks, data, and critical infrastructure.",https://www.ftportfolios.com/Retail/Etf/EtfSummary.aspx?Ticker=CIBR
12,HACK,Cybersecurity,Technology,ETFMG,"Pure-play cybersecurity ETF including hardware, software, and services companies defending against cyber threats.",https://etfmg.com/funds/hack/
